period,source item,cost,source
2019-01,SISLAB,0,Azure
2019-06,TMA,4,Azure
2019-02,SISLAB,0,Azure
2019-06,PYTHIA,0,Azure
2019-06,GEORE1,64,Azure
2019-05,PYTHIA,20,Azure
2019-03,GEORE1,0,Azure
2019-09,SISLAB,3,Azure
2019-04,PYTHIA,3906,Utilization
2019-01,OCR,3804,Utilization
2017-05,DSW,1466,Utilization
2019-02,INSIGHTSRE,1466,Utilization
2018-08,TMA,5277,Utilization
2019-02,PYTHIA,489,Utilization
2019-07,PYTHIA,1349,Group Technology Management
2019-02,DNA,213,Group Technology Management
2019-05,DOCSEARCH,170,Group Technology Management
2019-01,DSW,170,Group Technology Management
2019-09,SAMS,26,Group Technology Management
2019-06,DOCSEARCH,1633,Group Technology Management
2019-09,SAMS,22,Swisscom
2019-08,DSC,2051,Swisscom
2019-05,DSC,4041,Swisscom
2019-08,DATAROBOT,5,Swisscom
2019-05,GEORE1,3,Azure
2019-01,GEORE1,1,Azure
2019-02,GEORE1,93,Azure
2019-08,TMA,0,Azure
2019-06,GEORE1,0,Azure
2019-02,GEORE1,33,Azure
2019-08,SISLAB,52,Azure
2019-09,SISLAB,8,Azure
2019-08,TMA,0,Azure
2019-01,INSIGHTSRE,7871,Swisscom
2019-01,INSIGHTSRE,606,Swisscom
2019-04,INSIGHTSRE,7921,Swisscom
2019-04,INSIGHTSRE,6920,Swisscom
2019-03,INSIGHTSRE,3,Swisscom
2019-01,INSIGHTSRE,22,Swisscom
2019-02,DSW,1837,Swisscom
2019-02,TMA,231,Swisscom
2019-09,DSW,104,Swisscom
2019-02,PYTHIA,710,Group Technology Management
2019-02,WATSONEXP,170,Group Technology Management
2019-04,PYTHIA,109,Group Technology Management
2019-07,LHTI,170,Group Technology Management
2019-07,GEORE1,170,Group Technology Management
2019-02,DOCSEARCH,170,Group Technology Management
2019-04,DOCSEARCH,170,Group Technology Management
2019-09,SISLAB,170,Group Technology Management
2018-09,DSW,4399,Utilization
2017-01,OCR,11593,Utilization
2019-05,DSW,2933,Utilization
2018-10,DOCSEARCH,817,Utilization
2019-05,DSW,0,Utilization
2019-08,GEORE1,0,Azure
2019-07,GEORE1,0,Azure
2019-03,GEORE1,3,Azure
2019-02,SISLAB,0,Azure
2019-09,SISLAB,0,Azure
2019-05,GEORE1,12,Azure
2019-06,GEORE1,21,Azure
2019-08,GEORE1,0,Azure
2019-01,GEORE1,0,Azure
2019-02,GEORE1,0,Azure
2017-05,DOCSEARCH,15297,Utilization
2018-03,DNA,10144,Utilization
2018-02,OCR,1226,Utilization
2017-10,DSW,1671,Utilization
2019-02,LHTI,55,Group Technology Management
2019-08,LHTI,170,Group Technology Management
2019-01,OCR,170,Group Technology Management
2019-08,PYTHIA,170,Group Technology Management
2019-09,DSW,3499,Group Technology Management
2019-07,SAMS,65,Swisscom
2019-09,SAMS,6,Swisscom
2019-04,DATAROBOT,1572,Swisscom
2019-05,TMA,75,Swisscom
2019-04,SISLAB,5283,Swisscom
2019-05,TMA,20,Swisscom
2019-01,GEORE1,0,Azure
2019-04,SISLAB,4,Azure
2019-03,GEORE1,246,Azure
2019-02,SISLAB,6,Azure
2019-05,GEORE1,0,Azure
2019-03,TMA,8,Swisscom
2019-02,INSIGHTSRE,168,Swisscom
2019-07,INSIGHTSRE,63,Swisscom
2019-01,SISLAB,3121,Swisscom
2019-08,PYTHIA,60,Swisscom
2019-01,DSW,1109,Swisscom
2019-08,SISLAB,18,Swisscom
2017-11,DSW,15035,Utilization
2019-01,DSW,7812,Utilization
2019-01,INSIGHTSRE,2444,Utilization
2018-10,OCR,4347,Utilization
2019-07,DSW,4223,Group Technology Management
2019-06,DSW,4164,Group Technology Management
2019-02,DSW,3695,Group Technology Management
2019-02,VISREPBOXI,2146,Group Technology Management
2019-03,DOCSEARCH,170,Group Technology Management
2019-01,WATSONEXP,170,Group Technology Management
2019-02,DNA,642,Group Technology Management
2019-02,DOCSEARCH,3396,Group Technology Management
2019-02,WATSONEXP,37,Group Technology Management
2019-06,TMA,48306,Utilization
2019-01,INSIGHTSRE,18482,Utilization
2018-05,DSW,16706,Utilization
2018-06,INSIGHTSRE,33674,Utilization
2018-03,TMA,3958,Utilization
2019-02,TMA,2639,Utilization
2019-03,SAMS,644,Utilization
2019-01,SISLAB,23,Azure
2019-02,TMA,44,Azure
2019-08,SISLAB,0,Azure
2019-08,SISLAB,0,Azure
2019-01,SISLAB,3,Azure
2019-07,SISLAB,2,Azure
2019-01,DOCPROXY,170,Group Technology Management
2019-06,DOCPROXY,170,Group Technology Management
2019-03,DNA,213,Group Technology Management
2019-07,SFILE,710,Group Technology Management
2019-03,DOCPROXY,2971,Group Technology Management
2019-09,DSC,1657,Group Technology Management
2019-01,DOCSEARCH,550,Group Technology Management
2019-04,SISLAB,251,Group Digital & Information Services
2019-09,INSIGHTSRE,735,Swisscom
